Effect,Subject,Estimate,StdErrPred,DF,tValue,Probt
Intercept,id 300372,1.4455,0.6031,5396,2.40,0.0166
Intercept,id 300418,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300440,2.3750,0.4042,5396,5.88,<.0001
Intercept,id 300451,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 300462,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 300473,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 300495,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 300508,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300519,2.1373,0.4796,5396,4.46,<.0001
Intercept,id 300574,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 300585,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300596,2.5218,0.3785,5396,6.66,<.0001
Intercept,id 300609,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 300620,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 300653,2.3411,0.4386,5396,5.34,<.0001
Intercept,id 300743,2.6508,0.3572,5396,7.42,<.0001
Intercept,id 301048,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 301059,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301127,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 301138,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 301149,3.4178,0.2710,5396,12.61,<.0001
Intercept,id 301182,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 301206,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301228,2.7658,0.3392,5396,8.15,<.0001
Intercept,id 301250,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 301307,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 301318,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301329,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301351,1.0145,1.0056,5396,1.01,0.3131
Intercept,id 301384,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 301408,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 301419,2.1373,0.4796,5396,4.46,<.0001
Intercept,id 301430,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301485,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 301496,-0.1804,1.3480,5396,-0.13,0.8935
Intercept,id 301520,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 301610,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 301621,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 301632,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301676,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 301801,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 301812,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 301856,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 301946,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 302319,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 302363,0.5497,0.9108,5396,0.60,0.5462
Intercept,id 302374,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 302431,-0.5718,1.1684,5396,-0.49,0.6246
